=== exp004: Stage 2 Conditional Diffusion (first diffusion training) ===
Start time: Tue Mar 24 14:59:39     2026
Changes:
  - First Stage 2 training: conditional DDPM with 1D U-Net denoiser
  - Frozen encoder from exp003
  - batch=16, lr=2e-4, epochs=200, ema_decay=0.9999, T=1000
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp004",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.9999,
    "n_diffusion_steps": 1000
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp004\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Amp log stats: mean=-4.8466, std=1.2020
Epoch 181/200  train=0.075626  test=0.115477
Epoch 182/200  train=0.094516  test=0.120701
Epoch 183/200  train=0.077296  test=0.070196
Epoch 184/200  train=0.099687  test=0.129171
Epoch 185/200  train=0.079990  test=0.165874
Epoch 186/200  train=0.062241  test=0.053118
Epoch 187/200  train=0.069671  test=0.124929
Epoch 188/200  train=0.064642  test=0.106236
Epoch 189/200  train=0.081463  test=0.113247
Epoch 190/200  train=0.068322  test=0.111352
Epoch 191/200  train=0.106108  test=0.040451
Epoch 192/200  train=0.096506  test=0.107320
Epoch 193/200  train=0.105959  test=0.123987
Epoch 194/200  train=0.086719  test=0.085208
Epoch 195/200  train=0.074089  test=0.116419
Epoch 196/200  train=0.064304  test=0.125667
Epoch 197/200  train=0.064263  test=0.106739
Epoch 198/200  train=0.053395  test=0.105633
Epoch 199/200  train=0.086731  test=0.052726
Epoch 200/200  train=0.095848  test=0.096677

Training complete.
Device: cuda
Test tracks: 15

--- Evaluating Baseline ---
{
  "baseline_rpa": {
    "mean": 0.9713685894310086,
    "std": 0.02379642147553425,
    "min": 0.8935664734391333,
    "max": 0.9896858884200657
  },
  "baseline_f0_mae": {
    "mean": 16.39490623474121,
    "std": 3.02308463952469,
    "min": 12.181537628173828,
    "max": 22.72052001953125
  },
  "baseline_amp_corr": {
    "mean": 0.6454484693104038,
    "std": 0.18415941870590657,
    "min": 0.28676752445840514,
    "max": 0.8783912371793564
  },
  "baseline_amp_rmse_log": {
    "mean": 0.7379309495290121,
    "std": 0.1590150135709954,
    "min": 0.5264824628829956,
    "max": 1.039360761642456
  },
  "baseline_vde_mean": {
    "mean": 8.335156993455033,
    "std": 2.7786190661449854,
    "min": 2.662921697678706,
    "max": 12.231777259262524
  },
  "baseline_vre_mean": {
    "mean": 0.8797696095315721,
    "std": 0.22988423819462722,
    "min": 0.4637404374266793,
    "max": 1.2501153917060512
  },
  "baseline_n_vibrato_notes": {
    "mean": 40.46666666666667,
    "std": 26.209073916404513,
    "min": 10.0,
    "max": 82.0
  }
}

--- Evaluating Diffusion ---
{
  "diffusion_rpa_mean": {
    "mean": 0.030861510128660948,
    "std": 0.0031091957996482004,
    "min": 0.02631086142322097,
    "max": 0.03595449431178897
  },
  "diffusion_rpa_oracle": {
    "mean": 0.03206506888857889,
    "std": 0.0028792664424601173,
    "min": 0.028056951423785594,
    "max": 0.037379672459057385
  },
  "diffusion_f0_mae_mean": {
    "mean": 406.5676232910156,
    "std": 7.899366269440512,
    "min": 397.4795715332031,
    "max": 417.9856750488281
  },
  "diffusion_f0_mae_oracle": {
    "mean": 403.91725056966146,
    "std": 7.963888036386557,
    "min": 394.3786926269531,
    "max": 416.38568115234375
  },
  "diffusion_amp_corr_mean": {
    "mean": -0.011211087494963223,
    "std": 0.009285859954755022,
    "min": -0.02628644412878333,
    "max": 0.0011362153849692551
  },
  "diffusion_amp_corr_oracle": {
    "mean": -0.012915892911505982,
    "std": 0.011398580664952985,
    "min": -0.032022594483111906,
    "max": 0.0041457746053621645
  },
  "diffusion_amp_rmse_log_mean": {
    "mean": 2.988956740697225,
    "std": 0.22706406336291007,
    "min": 2.7502185344696044,
    "max": 3.4017738342285155
  },
  "diffusion_amp_rmse_log_oracle": {
    "mean": 2.9940680185953776,
    "std": 0.2303686076389539,
    "min": 2.7469112873077393,
    "max": 3.417794704437256
  },
