=== exp005: Stage 2 Diffusion — Fix EMA + Increase Training Steps ===
Start time: Tue Mar 24 15:27:58     2026
Changes:
  - [C1] EMA decay: 0.9999 -> 0.995
  - [C1] samples_per_epoch: 1180 (59 tracks * 20) -> ~73 batches/epoch -> 14600 total steps
  - [C1] Save raw (non-EMA) checkpoints alongside EMA
  - [C2] Best checkpoint selected by test_loss (not train_loss)
Device: cuda
Config: {
  "data_dir": "C:\\lxr\\study\\final\\datagen",
  "output_dir": "experiments/checkpoints/exp005",
  "instruments": [
    "vn",
    "tpt",
    "fl"
  ],
  "crop_len": 512,
  "seed": 42,
  "stage1": {
    "batch_size": 32,
    "lr": 0.001,
    "epochs": 100,
    "lam": 1.0,
    "patience": 15,
    "lr_patience": 5,
    "lr_factor": 0.5,
    "dropout": 0.3
  },
  "stage2": {
    "batch_size": 16,
    "lr": 0.0002,
    "epochs": 200,
    "ema_decay": 0.995,
    "n_diffusion_steps": 1000,
    "samples_per_epoch": 1180
  },
  "save_every": 10
}
Loaded baseline from experiments/checkpoints/exp005\baseline_best.pt

============================================================
Stage 2: Training Conditional Diffusion Model
============================================================
Train: 59 tracks, samples_per_epoch=1180
Amp log stats: mean=-4.8466, std=1.2020
Epoch 133/200  train=0.062569  test=0.065953
Epoch 134/200  train=0.062763  test=0.114990
Epoch 135/200  train=0.062702  test=0.121518
Epoch 136/200  train=0.063664  test=0.078285
Epoch 137/200  train=0.063118  test=0.050082
Epoch 138/200  train=0.062012  test=0.069791
Epoch 139/200  train=0.059622  test=0.089209
Epoch 140/200  train=0.057663  test=0.125532
Epoch 141/200  train=0.063598  test=0.148176
Epoch 142/200  train=0.061457  test=0.067787
Epoch 143/200  train=0.067725  test=0.083977
Epoch 144/200  train=0.065622  test=0.083763
Epoch 145/200  train=0.063297  test=0.031789
Epoch 146/200  train=0.062185  test=0.088879
Epoch 147/200  train=0.066240  test=0.067712
Epoch 148/200  train=0.063821  test=0.071137
Epoch 149/200  train=0.061941  test=0.072932
Epoch 150/200  train=0.064722  test=0.112685
Epoch 151/200  train=0.063745  test=0.088187
Epoch 152/200  train=0.061999  test=0.108121
Epoch 153/200  train=0.062068  test=0.058685
Epoch 154/200  train=0.062868  test=0.108577
Epoch 155/200  train=0.060829  test=0.095959
Epoch 156/200  train=0.061402  test=0.074481
Epoch 157/200  train=0.060402  test=0.066716
Epoch 158/200  train=0.060529  test=0.072146
Epoch 159/200  train=0.058348  test=0.082311
Epoch 160/200  train=0.060218  test=0.091628
Epoch 161/200  train=0.067092  test=0.043088
Epoch 162/200  train=0.064995  test=0.088509
Epoch 163/200  train=0.062380  test=0.075189
Epoch 164/200  train=0.059175  test=0.057771
Epoch 165/200  train=0.063728  test=0.069731
Epoch 166/200  train=0.062289  test=0.081944
Epoch 167/200  train=0.061228  test=0.085504
Epoch 168/200  train=0.061642  test=0.061348
Epoch 169/200  train=0.059858  test=0.073465
Epoch 170/200  train=0.060600  test=0.090929
Epoch 171/200  train=0.059863  test=0.084781
Epoch 172/200  train=0.059253  test=0.059512
Epoch 173/200  train=0.058285  test=0.077684
Epoch 174/200  train=0.059280  test=0.060880
Epoch 175/200  train=0.062235  test=0.080655
Epoch 176/200  train=0.056296  test=0.101429
Epoch 177/200  train=0.063646  test=0.055561
Epoch 178/200  train=0.055916  test=0.073179
Epoch 179/200  train=0.061608  test=0.070006
Epoch 180/200  train=0.058625  test=0.159654
Epoch 181/200  train=0.060209  test=0.130781
Epoch 182/200  train=0.059812  test=0.037463
Epoch 183/200  train=0.061807  test=0.086393
Epoch 184/200  train=0.065568  test=0.091181
Epoch 185/200  train=0.057783  test=0.055523
Epoch 186/200  train=0.060127  test=0.042328
Epoch 187/200  train=0.057401  test=0.055365
Epoch 188/200  train=0.062289  test=0.136880
Epoch 189/200  train=0.060988  test=0.115943
Epoch 190/200  train=0.058465  test=0.049436
Epoch 191/200  train=0.061257  test=0.071457
Epoch 192/200  train=0.062954  test=0.152047
Epoch 193/200  train=0.062560  test=0.111129
Epoch 194/200  train=0.059779  test=0.084756
Epoch 195/200  train=0.059438  test=0.107517
Epoch 196/200  train=0.061248  test=0.062182
Epoch 197/200  train=0.065851  test=0.057823
Epoch 198/200  train=0.060837  test=0.064798
Epoch 199/200  train=0.058257  test=0.079217
Epoch 200/200  train=0.060966  test=0.081101

Training complete.
Device: cuda
Test tracks: 15

--- Evaluating Baseline ---
{
  "baseline_rpa": {
    "mean": 0.9713685894310086,
    "std": 0.02379642147553425,
    "min": 0.8935664734391333,
    "max": 0.9896858884200657
  },
  "baseline_f0_mae": {
    "mean": 16.39490623474121,
    "std": 3.02308463952469,
    "min": 12.181537628173828,
    "max": 22.72052001953125
  },
  "baseline_amp_corr": {
    "mean": 0.6454484693104038,
    "std": 0.18415941870590657,
    "min": 0.28676752445840514,
    "max": 0.8783912371793564
  },
  "baseline_amp_rmse_log": {
    "mean": 0.7379309495290121,
    "std": 0.1590150135709954,
    "min": 0.5264824628829956,
    "max": 1.039360761642456
  },
  "baseline_vde_mean": {
    "mean": 8.335156993455033,
    "std": 2.7786190661449854,
    "min": 2.662921697678706,
    "max": 12.231777259262524
  },
  "baseline_vre_mean": {
    "mean": 0.8797696095315721,
    "std": 0.22988423819462722,
    "min": 0.4637404374266793,
    "max": 1.2501153917060512
  },
  "baseline_n_vibrato_notes": {
    "mean": 40.46666666666667,
    "std": 26.209073916404513,
    "min": 10.0,
    "max": 82.0
  }
}

--- Evaluating Diffusion ---
{
  "diffusion_rpa_mean": {
    "mean": 0.8526033904955049,
    "std": 0.07609264938143626,
    "min": 0.6563670411985019,
    "max": 0.9494628156829915
  },
  "diffusion_rpa_oracle": {
    "mean": 0.955805316430236,
    "std": 0.03437785582944108,
    "min": 0.8567839195979899,
    "max": 0.9872484060507564
  },
  "diffusion_f0_mae_mean": {
    "mean": 28.617644933064778,
    "std": 6.0463953917588835,
    "min": 19.53737678527832,
    "max": 41.48821754455567
  },
  "diffusion_f0_mae_oracle": {
    "mean": 18.426126289367676,
    "std": 5.154920473578592,
    "min": 12.887234687805176,
    "max": 33.9229736328125
  },
  "diffusion_amp_corr_mean": {
    "mean": 0.5437416725281631,
    "std": 0.21380960871439278,
